Countries,Date,Expenditure ($M),Education Expenditure (%Bud.),Gov. Health Exp. (%Bud.),Defence Expenditure (%Bud.),Expenditure (%GDP),Ch.
Nauru,2020,153,0.035,0.056,,1.345,10.34
New Zealand,2020,90616,0.161,0.193,0.033,0.432,4.4
Oman,2020,33819,0.122,0.076,0.219,0.533,8.51
Panama,2020,15130,0.102,0.201,0.000,0.286,6.47
Peru,2020,53975,0.160,0.149,0.048,0.262,4.93
Papua New Guinea,2019,5136,0.092,0.092,0.015,0.207,0.36
Philippines,2020,95587,0.142,0.071,0.040,0.264,4.71
Pakistan,2020,60907,0.116,0.043,0.174,0.232,1.31
Poland,2020,291106,0.111,0.109,0.046,0.487,6.9
State of Palestine,2020,5013,0.177,,,0.321,5.07
Palau,2019,120,0.155,0.174,,0.438,5.75
Paraguay,2019,8715,0.120,0.105,0.042,0.230,2.39
Qatar,2020,50222,0.093,0.063,0.049,0.345,1.89
Romania,2020,105042,0.105,0.121,0.048,0.422,5.9
Serbia,2020,25778,0.086,0.119,0.046,0.486,6.5
Russia,2020,583947,0.143,0.088,0.114,0.394,5.54
Rwanda,2019,2918,0.108,0.089,0.043,0.282,1.81
Saudi Arabia,2020,287507,0.193,0.101,0.217,0.410,5.36
Solomon Islands,2019,540,0.252,0.072,,0.342,-5.3
Seychelles,2020,639,0.092,0.101,0.031,0.560,18.94
Sudan,2019,6265,0.108,0.083,0.087,0.187,1.82
Sweden,2020,285556,0.157,0.187,0.023,0.526,3.5
Singapore,2020,90465,0.288,0.126,0.113,0.265,12.36
Slovenia,2020,27503,0.113,0.136,0.021,0.513,8
Slovakia,2020,47908,0.095,0.133,0.043,0.456,4.9
Sierra Leone,2019,867,0.350,0.079,0.031,0.210,-0.32
San Marino,2019,363,0.151,0.122,,0.225,-2.06
Senegal,2020,6532,0.221,0.039,0.058,0.264,2.11
Suriname,2020,914,0.139,0.118,,0.316,-10.7
South Sudan,2019,1938,0.009,0.021,0.081,0.422,9.71
Sao Tome and Principe,2020,110,0.161,0.108,,0.231,1.04
El Salvador,2020,8061,0.131,0.192,0.045,0.327,5.52
Syria,2009,14477,0.192,0.060,0.151,0.267,3.81
Swaziland,2020,1415,0.248,0.100,0.050,0.351,0.66
Chad,2020,2052,0.117,0.047,0.157,0.189,4.47
Togo,2020,1757,0.218,0.051,0.067,0.231,7.07
Thailand,2020,128888,0.168,0.150,0.055,0.253,3.49
Tajikistan,2019,2393,0.187,0.059,0.035,0.295,-2.39
Timor-Leste,2019,1396,0.079,0.052,0.024,0.692,-17.51
Turkmenistan,2020,6171,0.230,0.087,0.150,0.135,0.24
Tunisia,2020,14707,0.227,0.136,0.088,0.374,5.82
Tonga,2020,193,0.155,0.074,,0.385,-0.02
Turkey,2020,245265,0.124,0.097,0.075,0.340,-1.68
Trinidad and Tobago,2020,7545,0.094,0.112,0.020,0.342,2.89
Tuvalu,2019,61,,0.100,,1.128,-13
Taiwan,2020,122443,,,,0.183,1.02
Tanzania,2020,10589,0.205,0.095,0.061,0.164,0.01
Ukraine,2020,71583,0.158,0.074,0.088,0.460,4.64
Uganda,2020,8015,0.113,0.051,0.131,0.210,2.65
Uruguay,2020,18571,0.164,0.198,0.064,0.328,1.7
Uzbekistan,2020,17275,0.205,0.102,0.014,0.288,1.48
Saint Vincent and the Grenadines,2020,295,0.190,0.095,,0.364,3.12
Venezuela,2017,54329,0.239,0.014,0.015,0.377,12.55
Vietnam,2020,77181,0.144,0.095,0.088,0.224,-0.51
Vanuatu,2019,295,0.047,0.053,,0.318,-1.44
Samoa,2020,262,0.162,0.116,,0.322,-0.8
Yemen,2020,2222,0.125,0.000,0.143,0.118,-1.13
South Africa,2020,120938,0.195,0.133,0.026,0.360,4.27
Zambia,2020,6185,0.124,0.069,0.048,0.319,2.12
Zimbabwe,2019,24840,0.190,0.152,0.021,0.156,-16.32
