DATAFLOW,LAST UPDATE,freq,unit,emp_cont,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,DK,2017,32.4,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,DK,2018,28.2,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,DK,2019,30.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,DK,2020,24.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2011,11.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2012,11.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2013,14.4,b
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2014,14.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2015,14.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2016,14.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2017,14.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2018,15.0,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2019,15.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EA19,2020,13.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2011,15.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2012,16.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2013,16.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2014,14.8,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2015,15.1,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2016,18.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2017,20.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2018,23.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2019,23.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EE,2020,19.9,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2011,3.2,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2012,4.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2013,4.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2014,4.5,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2015,4.6,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2016,5.7,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2017,6.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2018,6.3,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2019,5.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,EL,2020,5.4,
ESTAT:TRNG_LFS_05$DEFAULTVIEW(1.0),09/03/22 11:00:00,A,PC,TOTAL,T,Y18-64,ES,2011,13.0,
